ACCESSION	ORGANISM	TAXONOMY	PREVIOUS_GENE	CONTROL_REGION	NEXT_GENE
['NC_066494']	Eupatorus sukkiti	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Coleoptera', 'Polyphaga', 'Scarabaeiformia', 'Scarabaeidae', 'Dynastinae', 'Eupatorus']	        rRNA [13961:14760](-) ['12S ribosomal RNA']	D-loop [14760:18445](+) None	source [0:18445](+) None	
['NC_066495']	Eupatorus hardwickei	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Coleoptera', 'Polyphaga', 'Scarabaeiformia', 'Scarabaeidae', 'Dynastinae', 'Eupatorus']	        rRNA [13952:14751](-) ['12S ribosomal RNA']	D-loop [14751:18494](+) None	source [0:18494](+) None	
['NC_066505']	Bembras japonica	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Platycephaloidei', 'Bembridae', 'Bembras']	        tRNA [15603:15673](-) ['tRNA-Pro']	D-loop [15673:16495](+) None	source [0:16495](+) None	
['NC_066506']	Argyrops bleekeri	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Spariformes', 'Sparidae', 'Argyrops']	        tRNA [15610:15680](-) ['tRNA-Pro']	D-loop [15680:16646](+) None	source [0:16646](+) None	
['NC_045360']	Athalia icar	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Hymenoptera', 'Tenthredinoidea', 'Athaliidae', 'Athalia']	        rRNA [14408:15214](-) ['12S ribosomal RNA']	D-loop [15214:15852](-) None	source [0:15852](+) None	
['NC_066649']	Devario interruptus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Danionidae', 'Danioninae', 'Devario']	        tRNA [15540:15610](-) ['tRNA-Pro']	D-loop [16055:16632](+) None	source [0:16735](+) None	
['NC_066714']	Siphateles boraxobius	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Leuciscidae', 'Laviniinae', 'Siphateles']	        tRNA [15605:15675](-) ['tRNA-Pro']	D-loop [15722:16490](+) None	source [0:16599](+) None	
['NC_066722']	Bassaricyon gabbii	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Caniformia', 'Procyonidae', 'Bassaricyon']	        D-loop [15420:15469](+) None	D-loop [15623:16217](+) None	source [0:16516](+) None	
['NC_066796']	Rhinichthys evermanni	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Leuciscidae', 'Pogonichthyinae', 'Rhinichthys']	        tRNA [15602:15672](-) ['tRNA-Pro']	D-loop [15788:16560](+) None	source [0:16658](+) None	
['NC_066814']	Tor qiaojiensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Cyprinidae', 'Torinae', 'Tor']	        tRNA [15582:15652](-) ['tRNA-Pro']	D-loop [15669:16489](+) None	source [0:16590](+) None	
['NC_066825']	Percina freemanorum	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Percoidei', 'Percidae', 'Etheostomatinae', 'Percina', 'Chalinoperca']	        tRNA [15591:15661](-) ['tRNA-Pro']	D-loop [15661:16578](+) None	source [0:16578](+) None	
['NC_066826']	Poecilia parae	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Poeciliidae', 'Poeciliinae', 'Poecilia']	        tRNA [15595:15665](-) ['tRNA-Pro']	D-loop [15665:16559](+) None	source [0:16559](+) None	
['NC_066827']	Percina kusha	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Percoidei', 'Percidae', 'Etheostomatinae', 'Percina', 'Chalinoperca']	        tRNA [15591:15661](-) ['tRNA-Pro']	D-loop [15661:16626](+) None	source [0:16626](+) None	
['NC_066828']	Notropis chlorocephalus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Leuciscidae', 'Pogonichthyinae', 'Notropis']	        tRNA [15589:15660](-) ['tRNA-Pro']	D-loop [15660:16709](+) None	source [0:16709](+) None	
['NC_066829']	Xiphophorus milleri	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Poeciliidae', 'Poeciliinae', 'Xiphophorus']	        tRNA [15697:15767](-) ['tRNA-Pro']	D-loop [15767:16624](+) None	source [0:16624](+) None	
['NC_066905']	Hypomesus pretiosus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Stomiati', 'Osmeriformes', 'Osmeridae', 'Hypomesus']	        tRNA [15616:15686](-) ['tRNA-Pro']	D-loop [15686:16715](+) None	source [0:16715](+) None	
['NC_066906']	Thaleichthys pacificus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Stomiati', 'Osmeriformes', 'Osmeridae', 'Thaleichthys']	        tRNA [15616:15686](-) ['tRNA-Pro']	D-loop [15686:16740](+) None	source [0:16740](+) None	
['NC_066907']	Salvelinus confluentus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Salmoninae', 'Salvelinus']	        tRNA [15590:15660](-) ['tRNA-Pro']	D-loop [15970:16474](+) None	source [0:16653](+) None	
['NC_066908']	Oncorhynchus clarkii	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Salmoninae', 'Oncorhynchus']	        tRNA [15585:15655](-) ['tRNA-Pro']	D-loop [15964:16467](+) None	source [0:16658](+) None	
['NC_066909']	Oliotius oligolepis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Cyprinidae', 'Smiliogastrinae', 'Oliotius']	        tRNA [15571:15642](-) ['tRNA-Pro']	D-loop [15642:16636](+) None	source [0:16636](+) None	
['NC_066910']	Pethia padamya	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Cyprinidae', 'Smiliogastrinae', 'Pethia']	        tRNA [15587:15657](-) ['tRNA-Pro']	D-loop [15657:16792](+) None	source [0:16792](+) None	
['NC_066911']	Cottus perplexus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Cottioidei', 'Cottales', 'Cottidae', 'Cottus']	        tRNA [15588:15658](-) ['tRNA-Pro']	D-loop [15943:16461](+) None	source [0:16512](+) None	
['NC_066912']	Cottus gulosus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Cottioidei', 'Cottales', 'Cottidae', 'Cottus']	        tRNA [15594:15664](-) ['tRNA-Pro']	D-loop [15949:16464](+) None	source [0:16518](+) None	
['NC_066913']	Cottus rhotheus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Cottioidei', 'Cottales', 'Cottidae', 'Cottus']	        tRNA [15608:15679](-) ['tRNA-Pro']	D-loop [15969:16482](+) None	source [0:16534](+) None	
['NC_066914']	Cottus tenuis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Cottioidei', 'Cottales', 'Cottidae', 'Cottus']	        tRNA [15590:15660](-) ['tRNA-Pro']	D-loop [15945:16466](+) None	source [0:16518](+) None	
['NC_066915']	Cottus princeps	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Cottioidei', 'Cottales', 'Cottidae', 'Cottus']	        tRNA [15634:15704](-) ['tRNA-Pro']	D-loop [15991:16509](+) None	source [0:16561](+) None	
['NC_066916']	Cottus klamathensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Cottioidei', 'Cottales', 'Cottidae', 'Cottus']	        tRNA [15600:15671](-) ['tRNA-Pro']	D-loop [15956:16477](+) None	source [0:16529](+) None	
['NC_066917']	Archoplites interruptus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Centrarchiformes', 'Centrarchoidei', 'Centrarchidae', 'Archoplites']	        D-loop [15878:16476](+) None	D-loop [16553:16595](+) None	source [0:16599](+) None	
['NC_066918']	Pomoxis annularis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Centrarchiformes', 'Centrarchoidei', 'Centrarchidae', 'Pomoxis']	        tRNA [15600:15670](-) ['tRNA-Pro']	D-loop [15885:16483](+) None	source [0:16497](+) None	
['NC_066919']	Cottus bendirei	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Cottioidei', 'Cottales', 'Cottidae', 'Cottus']	        tRNA [15607:15674](-) ['tRNA-Pro']	D-loop [15674:16528](+) None	source [0:16528](+) None	
['NC_066920']	Lepomis microlophus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Centrarchiformes', 'Centrarchoidei', 'Centrarchidae', 'Lepomis']	        tRNA [15584:15654](-) ['tRNA-Pro']	D-loop [15654:16555](+) None	source [0:16555](+) None	
['NC_066921']	Cottus beldingii	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Cottioidei', 'Cottales', 'Cottidae', 'Cottus']	        tRNA [15610:15677](-) ['tRNA-Pro']	D-loop [15677:16529](+) None	source [0:16529](+) None	
['NC_066922']	Cottus confusus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Cottioidei', 'Cottales', 'Cottidae', 'Cottus']	        tRNA [15613:15680](-) ['tRNA-Pro']	D-loop [15680:16533](+) None	source [0:16533](+) None	
['NC_066923']	Cottus aleuticus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Cottioidei', 'Cottales', 'Cottidae', 'Cottus']	        tRNA [15619:15685](-) ['tRNA-Pro']	D-loop [15685:16540](+) None	source [0:16540](+) None	
['NC_066924']	Cottus marginatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Cottioidei', 'Cottales', 'Cottidae', 'Cottus']	        tRNA [15683:15749](-) ['tRNA-Pro']	D-loop [15749:16603](+) None	source [0:16603](+) None	
['NC_066925']	Micropterus punctulatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Centrarchiformes', 'Centrarchoidei', 'Centrarchidae', 'Micropterus']	        tRNA [15590:15660](-) ['tRNA-Pro']	D-loop [15660:16487](+) None	source [0:16487](+) None	
['NC_066926']	Embiotoca lateralis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Embiotocidae', 'Embiotoca']	        tRNA [15637:15707](-) ['tRNA-Pro']	D-loop [15710:16536](+) None	source [0:16536](+) None	
['NC_066927']	Phanerodon furcatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Embiotocidae', 'Phanerodon']	        tRNA [15637:15707](-) ['tRNA-Pro']	D-loop [15710:16524](+) None	source [0:16524](+) None	
['NC_066928']	Atherinops affinis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Atherinomorphae', 'Atheriniformes', 'Atherinopsidae', 'Atherinopsinae', 'Atherinops']	        tRNA [15611:15681](-) ['tRNA-Pro']	D-loop [15681:16526](+) None	source [0:16526](+) None	
['NC_066929']	Enophrys bison	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Cottioidei', 'Cottales', 'Cottidae', 'Enophrys']	        tRNA [15589:15655](-) ['tRNA-Pro']	D-loop [15872:16888](+) None	source [0:16888](+) None	
['NC_066930']	Parophrys vetulus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Carangaria', 'Pleuronectiformes', 'Pleuronectoidei', 'Pleuronectidae', 'Parophrys']	        tRNA [15631:15702](-) ['tRNA-Pro']	D-loop [15702:16914](+) None	source [0:16914](+) None	
['NC_066931']	Apodichthys flavidus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Cottioidei', 'Zoarcales', 'Pholidae', 'Apodichthys']	        tRNA [15595:15665](-) ['tRNA-Pro']	D-loop [15665:16516](+) None	source [0:16516](+) None	
['NC_066932']	Pholis ornata	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Cottioidei', 'Zoarcales', 'Pholidae', 'Pholis']	        tRNA [15595:15665](-) ['tRNA-Pro']	D-loop [15665:16519](+) None	source [0:16519](+) None	
['NC_066933']	Sebastes caurinus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Scorpaenoidei', 'Sebastidae', 'Sebastinae', 'Sebastes']	        tRNA [15600:15666](-) ['tRNA-Pro']	D-loop [15666:16619](+) None	source [0:16772](+) None	
['NC_066934']	Cottus pitensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Cottioidei', 'Cottales', 'Cottidae', 'Cottus']	        tRNA [15593:15659](-) ['tRNA-Pro']	D-loop [15659:16513](+) None	source [0:16513](+) None	
['NC_066979']	Doratura homophyla	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Paraneoptera', 'Hemiptera', 'Auchenorrhyncha', 'Membracoidea', 'Cicadellidae', 'Deltocephalinae', 'Chiasmini', 'Doratura']	        rRNA [13698:14441](-) ['small subunit ribosomal RNA']	misc_feature [14441:16269](+) None	source [0:16269](+) None	
['NC_066989']	Hyphessobrycon amapaensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Characiformes', 'Characoidei', 'Characidae', 'Hyphessobrycon']	        tRNA [15592:15662](-) ['tRNA-Pro']	D-loop [15662:17824](+) None	source [0:17824](+) None	
['NC_066990']	Hyphessobrycon socolofi	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Characiformes', 'Characoidei', 'Characidae', 'Hyphessobrycon']	        tRNA [15563:15633](-) ['tRNA-Pro']	D-loop [15633:17132](+) None	source [0:17132](+) None	
['NC_066991']	Hemigrammus armstrongi	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Characiformes', 'Characoidei', 'Characidae', 'Hemigrammus']	        tRNA [15622:15692](-) ['tRNA-Pro']	D-loop [15692:16789](+) None	source [0:16789](+) None	
['NC_066992']	Pristella maxillaris	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Characiformes', 'Characoidei', 'Characidae', 'Pristella']	        tRNA [15606:15676](-) ['tRNA-Pro']	D-loop [15676:16896](+) None	source [0:16896](+) None	
['NC_066993']	Hemigrammus ocellifer	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Characiformes', 'Characoidei', 'Characidae', 'Hemigrammus']	        tRNA [16677:16747](-) ['tRNA-Pro']	D-loop [16747:18141](+) None	source [0:18141](+) None	
['NC_066994']	Hyphessobrycon anisitsi	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Characiformes', 'Characoidei', 'Characidae', 'Hyphessobrycon']	        tRNA [15813:15883](-) ['tRNA-Pro']	D-loop [15883:16920](+) None	source [0:16920](+) None	
['NC_067042']	Epinephelus maculatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Serranoidei', 'Serranidae', 'Epinephelinae', 'Epinephelini', 'Epinephelus']	        tRNA [15752:15822](-) ['tRNA-Pro']	D-loop [15822:16746](+) None	source [0:16746](+) None	
['NC_067055']	Takydromus sylvaticus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Laterata', 'Lacertibaenia', 'Lacertidae', 'Takydromus']	        tRNA [15317:15385](-) ['tRNA-Pro']	D-loop [15385:17518](+) None	source [0:17518](+) None	
['NC_066655']	Paratanakia chii	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Acheilognathidae', 'Paratanakia']	        tRNA [15591:15661](-) ['tRNA-Pro']	D-loop [15661:16575](+) None	source [0:16575](+) None	
['NC_066657']	Luciocyprinus langsoni	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Cyprinidae', 'Cyprininae', 'Luciocyprinus']	        tRNA [15592:15662](-) ['tRNA-Pro']	misc_feature [15680:16487](+) None	source [0:16586](+) None	
['NC_066688']	Rhynchobatus djiddensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Chondrichthyes', 'Elasmobranchii', 'Batoidea', 'Rhinopristiformes', 'Rhynchobatidae', 'Rhynchobatus']	        tRNA [15622:15692](-) ['tRNA-Pro']	D-loop [15692:16799](+) None	source [0:16799](+) None	
['NC_066709']	Blenina donans	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Lepidoptera', 'Glossata', 'Ditrysia', 'Noctuoidea', 'Nolidae', 'Bleninae', 'Blenina']	        gene [13985:15324](-) None	CDS [13985:15324](-) ['NADH dehydrogenase subunit 4']	gene [5773:5841](+) None	
['NC_066710']	Hypospila bolinoides	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Lepidoptera', 'Glossata', 'Ditrysia', 'Noctuoidea', 'Erebidae', 'Erebinae', 'Hypospila']	        gene [14301:15640](-) None	CDS [14301:15640](-) ['NADH dehydrogenase subunit 4']	gene [6028:6096](+) None	
['NC_066711']	Oraesia emarginata	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Lepidoptera', 'Glossata', 'Ditrysia', 'Noctuoidea', 'Erebidae', 'Erebinae', 'Oraesia']	        gene [15376:16114](-) None	rRNA [15376:16114](-) ['12S ribosomal RNA']	gene [887:954](+) None	
['NC_066712']	Westermannia superba	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Lepidoptera', 'Glossata', 'Ditrysia', 'Noctuoidea', 'Nolidae', 'Westermanniinae', 'Westermannia']	        tRNA [14944:15012](-) ['tRNA-Met']	D-loop [15046:15376](+) None	source [0:15376](+) None	
['NC_066713']	Lygephila dorsigera	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Lepidoptera', 'Glossata', 'Ditrysia', 'Noctuoidea', 'Erebidae', 'Toxocampinae', 'Lygephila']	        gene [15501:15569](-) None	tRNA [15501:15569](-) ['tRNA-His']	gene [7239:7307](+) None	
['NC_066805']	Scyliorhinus stellaris	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Chondrichthyes', 'Elasmobranchii', 'Galeomorphii', 'Galeoidea', 'Carcharhiniformes', 'Scyliorhinidae', 'Scyliorhinus']	        tRNA [15567:15636](-) ['tRNA-Pro']	D-loop [15636:16684](+) None	source [0:16684](+) None	
['NC_066962']	Ptomascopus plagiatus	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Coleoptera', 'Polyphaga', 'Staphyliniformia', 'Silphidae', 'Nicrophorinae', 'Ptomascopus']	        rRNA [13826:14603](-) ['12S ribosomal RNA']	D-loop [14603:17556](+) None	source [0:17556](+) None	
['NC_066980']	Exitianus nanus	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Paraneoptera', 'Hemiptera', 'Auchenorrhyncha', 'Membracoidea', 'Cicadellidae', 'Deltocephalinae', 'Chiasmini', 'Exitianus']	        rRNA [13656:14400](-) ['12S ribosomal RNA']	misc_feature [14400:15714](+) None	source [0:15714](+) None	
['NC_066981']	Nephotettix malayanus	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Paraneoptera', 'Hemiptera', 'Auchenorrhyncha', 'Membracoidea', 'Cicadellidae', 'Deltocephalinae', 'Chiasmini', 'Nephotettix']	        rRNA [13668:14413](-) ['small subunit ribosomal RNA']	misc_feature [14413:15462](+) None	source [0:15462](+) None	
